Timestep;Price;G_WindOffshore;G_GasTurbine;G_Baseload;G_Peak;G_WindOnshore;G_SolarPanels;G_TypeC;G_TypeA;G_TypeB;Demand;Total_PV
115.0;0.008993816398950812;0.0;0.0;8.12161936622202e-12;0.0;0.0;0.0;-0.21400627652166565;-0.16953264804646614;-0.4293946520671218;-13.918;0.000331657207267209
116.0;0.008893417661338025;0.0;0.0;7.199638404508997e-12;0.0;0.0;0.0;-0.22182863158802493;-0.1715076595601976;-0.44513272849878327;-13.728;0.00011024299524806333
117.0;0.008448442182368867;0.0;0.0;4.146076200582577e-12;0.0;0.0;0.0;-0.21917930495367474;-0.15871269514426625;-0.4397684645318565;-13.02;8.357287601966141e-7
118.0;0.007925681552017437;0.0;0.0;1.978606975562816e-12;0.0;0.0;0.0;-0.21181696087908536;-0.13873054571407661;-0.4249127077059106;-12.206;0.0
119.0;0.007457940344680338;0.0;0.0;1.5766214380745329e-12;0.0;0.0;0.0;-0.20311032222911748;-0.11789073601607451;-0.40737507606135154;-11.487;0.0
120.0;0.007043874460474653;0.0;0.0;1.313352477749733e-12;0.0;0.0;0.0;-0.19364537940207596;-0.0742357644869747;-0.38833010887945313;-10.881;0.0
121.0;0.006265277572325069;0.0;0.0;1.831573515608745e-12;0.0;0.0;0.0;-0.17130634914718837;-0.06625318196679963;-0.3434310786799363;-9.681;0.0
122.0;0.006075054193157912;0.0;0.0;1.7335308000037605e-12;0.0;0.0;0.0;-0.16322878073166722;-0.06499850756704248;-0.32721037324498375;-9.395;0.0
123.0;0.005967926916692132;0.0;0.0;1.6848179103696203e-12;0.0;0.0;0.0;-0.15580872890373934;-0.06585360406455196;-0.3123236780930089;-9.241;0.0
124.0;0.005911910910549118;0.0;0.0;1.6609195131164623e-12;0.0;0.0;0.0;-0.14843423456950575;-0.06927884073163063;-0.297536293708653;-9.168;0.0
